Y,X1,X2
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.2863
0,-4.1325,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-4.1325,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.1325,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.2863
0,-5.2311,-372.9795
0,-4.1325,-372.9795
0,-5.2311,-372.2863
0,-4.5380,-372.9795
0,-4.5380,-372.9795
0,-3.8448,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-3.2852,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.2863
0,-5.2311,-372.9795
0,-5.2311,-369.8014
0,-5.2311,-372.9795
0,-5.2311,-369.8014
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.2863
0,-5.2311,-372.2863
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-3.2852,-372.9795
0,-5.2311,-372.2863
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-3.2852,-372.9795
0,-5.2311,-372.2863
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-3.4393,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
0,-4.1325,-372.9795
0,-4.5380,-372.9795
0,-3.8448,-372.9795
0,-3.0339,-372.9795
0,-4.5380,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.1325,-372.9795
0,-4.5380,-372.2863
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-5.2311,-372.9795
0,-4.5380,-372.9795
1,-5.2311,-372.9795
1,-5.2311,-372.9795
1,-5.2311,-372.9795
1,-5.2311,-372.9795
1,-5.2311,-372.9795
0,-2.4849,-372.9795
0,-2.4849,-372.9795
0,-1.7918,-372.9795
0,-2.4849,-372.9795
0,-2.4849,-372.9795
0,-2.4849,-372.9795
0,-1.7918,-372.9795
0,-2.4849,-372.2863
0,-2.4849,-372.9795
0,-2.4849,-372.9795
0,-4.7622,-372.9795
0,-3.6636,-372.9795
0,-3.6636,-372.9795
0,-4.7622,-372.9795
0,-4.7622,-372.9795
0,-3.6636,-372.9795
0,-4.7622,-372.2863
0,-4.7622,-372.2863
0,-4.7622,-372.9795
0,-4.7622,-372.2863
0,-4.7622,-372.9795
0,-4.7622,-372.9795
0,-4.7622,-372.2863
0,-4.7622,-372.9795
